web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
"1604264417-75","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Moreirense FC
              
                FC Paços Ferreira","https://www.betano.pt/odds/moreirense-fc-fc-pacos-ferreira/6930463/","Primeira Liga","Sábado, 7 Novembro 2020 15:30","Moreirense FC","FC Paços Ferreira","2.86","2.98","2.54","2.05","1.50","Mais de2.5","1.36","2.40","Mais de1.5","3.60","1.15","Mais de3.5","1.78","1.70","Ambas Equipas Marcam (Sim/Não)","1.45","1.28","1.36","1X","12","2X","Domingo, 1 Novembro 2020 20:59","null"
"1604264377-70","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","FC Porto
              
                Portimonense","https://www.betano.pt/odds/fc-porto-portimonense/6930470/","Primeira Liga","Domingo, 8 Novembro 2020 17:30","FC Porto","Portimonense","1.15","6.60","16.00","2.05","1.50","Mais de3.5","1.10","4.15","Mais de1.5","1.42","2.25","Mais de2.5","2.12","1.47","Ambas Equipas Marcam (Sim/Não)","-","1.07","4.65","1X","12","2X","Domingo, 1 Novembro 2020 20:59","null"
"1604264370-69","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","SL Benfica
              
                SC Braga","https://www.betano.pt/odds/sl-benfica-sc-braga/6930471/","Primeira Liga","Domingo, 8 Novembro 2020 20:00","SL Benfica","SC Braga","1.61","4.15","4.60","2.05","1.50","Mais de3.5","1.10","4.15","Mais de1.5","1.42","2.25","Mais de2.5","1.45","2.17","Ambas Equipas Marcam (Sim/Não)","1.16","1.15","2.18","1X","12","2X","Domingo, 1 Novembro 2020 20:59","null"
"1604263864-11","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Bayer Leverkusen
              
                Borussia Mönchengladbach","https://www.betano.pt/odds/bayer-leverkusen-borussia-monchengladbach/6886187/","Bundesliga","Domingo, 8 Novembro 2020 17:00","Bayer Leverkusen","Borussia Mönchengladbach","2.25","3.30","3.00","1.57","2.02","Mais de2.5","1.17","3.60","Mais de1.5","2.40","1.40","Mais de3.5","1.47","2.20","Ambas Equipas Marcam (Sim/Não)","1.33","1.26","1.57","1X","12","2X","Domingo, 1 Novembro 2020 20:50","null"
"1604264053-33","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Nottingham Forest
              
                Coventry City","https://www.betano.pt/odds/nottingham-forest-coventry-city/6713849/","Championship","Quarta-feira, 4 Novembro 2020 19:45","Nottingham Forest","Coventry City","1.75","3.25","4.60","1.90","1.61","Mais de2.5","1.28","2.72","Mais de1.5","3.10","1.21","Mais de3.5","1.78","1.70","Ambas Equipas Marcam (Sim/Não)","1.15","1.24","1.95","1X","12","2X","Domingo, 1 Novembro 2020 20:53","null"
"1604264000-27","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","Stade Brestois 29
              
                Lille","https://www.betano.pt/odds/stade-brestois-29-lille/6751302/","Ligue 1","Domingo, 8 Novembro 2020 12:00","Stade Brestois 29","Lille","3.20","3.35","2.13","1.80","1.67","Mais de2.5","1.24","2.90","Mais de1.5","2.98","1.23","Mais de3.5","1.65","1.83","Ambas Equipas Marcam (Sim/Não)","1.63","1.23","1.30","1X","12","2X","Domingo, 1 Novembro 2020 20:52","null"
"1604264007-28","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","PSG
              
                Rennes","https://www.betano.pt/odds/psg-rennes/6751297/","Ligue 1","Sábado, 7 Novembro 2020 20:00","PSG","Rennes","1.19","5.95","14.40","1.83","1.65","Mais de3.5","1.07","4.65","Mais de1.5","1.33","2.52","Mais de2.5","1.80","1.67","Ambas Equipas Marcam (Sim/Não)","1.02","1.09","4.25","1X","12","2X","Domingo, 1 Novembro 2020 20:52","null"
"1604263872-12","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Wolfsburgo
              
                Hoffenheim","https://www.betano.pt/odds/wolfsburgo-hoffenheim/6886188/","Bundesliga","Domingo, 8 Novembro 2020 14:30","Wolfsburgo","Hoffenheim","2.12","3.40","3.20","1.55","2.05","Mais de2.5","1.16","3.75","Mais de1.5","2.30","1.44","Mais de3.5","1.45","2.25","Ambas Equipas Marcam (Sim/Não)","1.30","1.24","1.65","1X","12","2X","Domingo, 1 Novembro 2020 20:50","null"
"1604264509-86","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Parma
              
                Fiorentina","https://www.betano.pt/odds/parma-fiorentina/6912563/","Série A","Sábado, 7 Novembro 2020 19:45","Parma","Fiorentina","3.50","3.70","1.91","1.50","2.13","Mais de2.5","1.15","3.85","Mais de1.5","2.25","1.45","Mais de3.5","1.45","2.25","Ambas Equipas Marcam (Sim/Não)","1.78","1.21","1.26","1X","12","2X","Domingo, 1 Novembro 2020 21:01","null"
"1604263788-2","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","SC Heerenveen
              
                AZ Alkmaar","https://www.betano.pt/odds/sc-heerenveen-az-alkmaar/6742413/","Eredivisie","Domingo, 8 Novembro 2020 15:45","SC Heerenveen","AZ Alkmaar","3.05","3.45","2.17","1.47","2.10","Mais de2.5","1.13","3.75","Mais de1.5","2.20","1.44","Mais de3.5","1.40","2.30","Ambas Equipas Marcam (Sim/Não)","1.61","1.22","1.33","1X","12","2X","Domingo, 1 Novembro 2020 20:49","null"
"1604263919-18","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","RB Leipzig
              
                Friburgo","https://www.betano.pt/odds/rb-leipzig-friburgo/6886181/","Bundesliga","Sábado, 7 Novembro 2020 14:30","RB Leipzig","Friburgo","1.32","4.85","8.50","2.05","1.55","Mais de3.5","1.12","4.25","Mais de1.5","1.44","2.30","Mais de2.5","1.67","1.87","Ambas Equipas Marcam (Sim/Não)","1.04","1.16","3.10","1X","12","2X","Domingo, 1 Novembro 2020 20:50","null"
"1604264182-48","https://www.betano.pt/sport/futebol/escocia/premiership/1647r/","Aberdeen FC
              
                Hibernian FC","https://www.betano.pt/odds/aberdeen-fc-hibernian-fc/6732444/","Premiership","Sexta-feira, 6 Novembro 2020 19:45","Aberdeen FC","Hibernian FC","2.02","3.40","3.20","1.91","1.60","Mais de2.5","1.28","2.72","Mais de1.5","3.30","1.18","Mais de3.5","1.75","1.72","Ambas Equipas Marcam (Sim/Não)","1.28","1.22","1.67","1X","12","2X","Domingo, 1 Novembro 2020 20:55","null"
"1604264245-55","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","Ural Sverdlovskaya Oblast
              
                Spartak Moscovo","https://www.betano.pt/odds/ural-sverdlovskaya-oblast-spartak-moscovo/6737722/","Premier Liga","Sábado, 7 Novembro 2020 11:00","Ural Sverdlovskaya Oblast","Spartak Moscovo","5.15","3.20","1.70","1.90","1.57","Mais de2.5","1.28","2.66","Mais de1.5","3.10","1.19","Mais de3.5","1.80","1.65","Ambas Equipas Marcam (Sim/Não)","2.02","1.24","1.12","1X","12","2X","Domingo, 1 Novembro 2020 20:56","null"
"1604264293-60","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Real Sociedad
              
                Granada CF","https://www.betano.pt/odds/real-sociedad-granada-cf/6903491/","LaLiga","Domingo, 8 Novembro 2020 15:15","Real Sociedad","Granada CF","1.75","3.60","4.33","1.83","1.72","Mais de2.5","1.26","3.00","Mais de1.5","3.05","1.25","Mais de3.5","1.75","1.80","Ambas Equipas Marcam (Sim/Não)","1.18","1.22","1.95","1X","12","2X","Domingo, 1 Novembro 2020 20:57","null"
"1604263992-26","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","RC Lens
              
                Stade Reims","https://www.betano.pt/odds/rc-lens-stade-reims/6751305/","Ligue 1","Domingo, 8 Novembro 2020 14:00","RC Lens","Stade Reims","1.91","3.30","3.95","2.02","1.53","Mais de2.5","1.32","2.54","Mais de1.5","3.45","1.16","Mais de3.5","1.83","1.65","Ambas Equipas Marcam (Sim/Não)","1.21","1.24","1.80","1X","12","2X","Domingo, 1 Novembro 2020 20:52","null"
