,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
81,1601467403-140,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Fiorentina
              
                Sampdoria",https://www.betano.pt/odds/fiorentina-sampdoria/6595025/,Série A,"Sexta-feira, 2 Outubro 2020 19:45",Fiorentina,Sampdoria,1.72,3.75,4.3,1.65,1.91,Mais de2.5,1.19,3.45,Mais de1.5,2.62,1.33,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.18,1.2,2.0,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:00",
82,1601467349-134,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Parma
              
                Hellas Verona",https://www.betano.pt/odds/parma-hellas-verona/6595032/,Série A,"Domingo, 4 Outubro 2020 14:00",Parma,Hellas Verona,2.86,3.0,2.52,1.95,1.63,Mais de2.5,1.3,2.78,Mais de1.5,3.2,1.22,Mais de3.5,1.67,1.87,Ambas Equipas Marcam (Sim/Não),1.45,1.31,1.36,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:00",
83,1601467287-127,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Bolonha
              
                Sassuolo",https://www.betano.pt/odds/bolonha-sassuolo/6650715/,Série A,"Domingo, 18 Outubro 2020 11:30",Bolonha,Sassuolo,2.67,3.35,2.45,1.50,2.13,Mais de2.5,1.15,3.85,Mais de1.5,2.25,1.45,Mais de3.5,1.42,2.37,Ambas Equipas Marcam (Sim/Não),1.47,1.25,1.42,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:00",
84,1601467048-102,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Eibar
              
                Elche CF",https://www.betano.pt/odds/eibar-elche-cf/6567507/,LaLiga,"Quarta-feira, 30 Setembro 2020 20:30",Eibar,Elche CF,1.7,3.5,4.95,2.20,1.47,Mais de2.5,1.38,2.45,Mais de1.5,4.05,1.13,Mais de3.5,2.13,1.5,Ambas Equipas Marcam (Sim/Não),1.14,1.23,2.05,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:55",
85,1601466184-10,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"PSV Eindhoven
              
                Fortuna Sittard",https://www.betano.pt/odds/psv-eindhoven-fortuna-sittard/6420453/,Eredivisie,"Domingo, 4 Outubro 2020 15:45",PSV Eindhoven,Fortuna Sittard,1.18,6.55,12.5,1.80,1.67,Mais de3.5,1.07,4.7,Mais de1.5,1.32,2.56,Mais de2.5,1.78,1.7,Ambas Equipas Marcam (Sim/Não),1.02,1.08,4.3,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:41",
86,1601467385-138,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Udinese
              
                AS Roma",https://www.betano.pt/odds/udinese-as-roma/6595028/,Série A,"Sábado, 3 Outubro 2020 19:45",Udinese,AS Roma,4.33,3.75,1.72,1.60,2.0,Mais de2.5,1.18,3.55,Mais de1.5,2.45,1.38,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),2.00,1.2,1.18,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:00",
87,1601467340-133,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"AC Milão
              
                Spezia",https://www.betano.pt/odds/ac-milao-spezia/6595033/,Série A,"Domingo, 4 Outubro 2020 17:00",AC Milão,Spezia,1.22,5.8,11.5,2.15,1.5,Mais de3.5,1.12,4.15,Mais de1.5,1.45,2.25,Mais de2.5,1.91,1.65,Ambas Equipas Marcam (Sim/Não),1.02,1.11,3.85,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:00",
88,1601467331-132,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Juventus
              
                Nápoles",https://www.betano.pt/odds/juventus-napoles/6595034/,Série A,"Domingo, 4 Outubro 2020 19:45",Juventus,Nápoles,1.83,3.55,3.95,1.80,1.75,Mais de2.5,1.25,3.05,Mais de1.5,3.0,1.26,Mais de3.5,1.72,1.83,Ambas Equipas Marcam (Sim/Não),1.20,1.22,1.88,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:00",
89,1601467064-104,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Huesca
              
                Atlético de Madrid",https://www.betano.pt/odds/huesca-atletico-de-madrid/6567509/,LaLiga,"Quarta-feira, 30 Setembro 2020 18:00",Huesca,Atlético de Madrid,6.75,3.95,1.53,1.91,1.65,Mais de2.5,1.3,2.78,Mais de1.5,3.3,1.21,Mais de3.5,2.02,1.57,Ambas Equipas Marcam (Sim/Não),2.40,1.2,1.08,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:55",
90,1601466220-14,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"FC Twente Enschede
              
                FC Emmen",https://www.betano.pt/odds/fc-twente-enschede-fc-emmen/6413466/,Eredivisie,"Sábado, 3 Outubro 2020 20:00",FC Twente Enschede,FC Emmen,1.9,3.6,3.65,1.57,1.95,Mais de2.5,1.16,3.45,Mais de1.5,2.4,1.36,Mais de3.5,1.5,2.05,Ambas Equipas Marcam (Sim/Não),1.24,1.2,1.8,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:41",
