web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1600464073-130,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Moreirense - SC Farense,https://www.oddsportal.com/soccer/portugal/primeira-liga/moreirense-sc-farense-faLdI39g/,Primeira Liga,"Sunday, 20 Sep  2020, 17:30",Moreirense - SC Farense,,Portugal
1600463533-62,https://www.oddsportal.com/soccer/russia/premier-league/,Sochi - Krasnodar,https://www.oddsportal.com/soccer/russia/premier-league/pfc-sochi-krasnodar-dOBFiKSu/,Premier League,"Saturday, 26 Sep  2020, 17:00",Sochi - Krasnodar,,Russia
1600463732-87,https://www.oddsportal.com/soccer/usa/mls/,New York Red Bulls - FC Cincinnati,https://www.oddsportal.com/soccer/usa/mls/new-york-red-bulls-fc-cincinnati-noE645eq/,MLS,"Tomorrow, 19 Sep  2020, 23:00",New York Red Bulls - FC Cincinnati,,USA
1600464431-176,https://www.oddsportal.com/soccer/france/ligue-1/,Lens - Bordeaux,https://www.oddsportal.com/soccer/france/ligue-1/lens-bordeaux-0zmR5Ruh/,Ligue 1,"Tomorrow, 19 Sep  2020, 15:00",Lens - Bordeaux,,France
1600463488-57,https://www.oddsportal.com/soccer/europe/europa-league/,Plzen (Cze)  - Sonderjyske (Den),https://www.oddsportal.com/soccer/europe/europa-league/plzen-sonderjyske-Eipk8tzA/,Europa League,"Thursday, 24 Sep  2020, 16:00",Plzen (Cze)  - Sonderjyske (Den),,Europe
1600464594-197,https://www.oddsportal.com/soccer/england/championship/,Luton - Derby,https://www.oddsportal.com/soccer/england/championship/luton-derby-KbS8X5Ek/,Championship,"Tomorrow, 19 Sep  2020, 14:00",Luton - Derby,,England
1600463330-36,https://www.oddsportal.com/soccer/europe/europa-league/,Riga FC (Lat)  - Celtic (Sco),https://www.oddsportal.com/soccer/europe/europa-league/riga-fc-celtic-EyzYgH6j/,Europa League,"Thursday, 24 Sep  2020, 17:00",Riga FC (Lat)  - Celtic (Sco),,Europe
1600463239-24,https://www.oddsportal.com/soccer/europe/europa-league/,Sporting (Por)  - Aberdeen (Sco),https://www.oddsportal.com/soccer/europe/europa-league/sporting-aberdeen-2Xf3t98o/,Europa League,"Thursday, 24 Sep  2020, 19:00",Sporting (Por)  - Aberdeen (Sco),,Europe
1600464771-220,https://www.oddsportal.com/soccer/england/premier-league/,Leeds - Fulham,https://www.oddsportal.com/soccer/england/premier-league/leeds-fulham-jsV7zSGk/,Premier League,"Tomorrow, 19 Sep  2020, 14:00",Leeds - Fulham,,England
1600464608-199,https://www.oddsportal.com/soccer/england/championship/,Blackburn - Wycombe,https://www.oddsportal.com/soccer/england/championship/blackburn-wycombe-OjmYw8yM/,Championship,"Tomorrow, 19 Sep  2020, 14:00",Blackburn - Wycombe,,England
1600463150-14,https://www.oddsportal.com/soccer/spain/laliga/,Huesca - Cadiz CF,https://www.oddsportal.com/soccer/spain/laliga/huesca-cadiz-rLwTLe5n/,LaLiga,"Sunday, 20 Sep  2020, 14:00",Huesca - Cadiz CF,,Spain
