web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning
1599412850-136,https://www.oddsportal.com/soccer/france/ligue-1/,St Etienne - Strasbourg,https://www.oddsportal.com/soccer/france/ligue-1/st-etienne-strasbourg-Q7kfHLqS/,Ligue 1,"Saturday, 12 Sep  2020, 19:00",St Etienne - Strasbourg,
1599411867-27,https://www.oddsportal.com/soccer/europe/europa-league/,Lokomotiv Tbilisi (Geo)  - Dynamo Moscow (Rus),https://www.oddsportal.com/soccer/europe/europa-league/lokomotiv-tbilisi-dynamo-moscow-nD4yiwO8/,Europa League,"Thursday, 17 Sep  2020, 17:00",Lokomotiv Tbilisi (Geo)  - Dynamo Moscow (Rus),
1599413068-160,https://www.oddsportal.com/soccer/england/premier-league/,Leeds - Fulham,https://www.oddsportal.com/soccer/england/premier-league/leeds-fulham-jsV7zSGk/,Premier League,"Saturday, 19 Sep  2020, 14:00",Leeds - Fulham,
1599412496-97,https://www.oddsportal.com/soccer/germany/bundesliga/,Bayern Munich - Schalke,https://www.oddsportal.com/soccer/germany/bundesliga/bayern-munich-schalke-lKHXT4VE/,Bundesliga,"Friday, 18 Sep  2020, 18:30",Bayern Munich - Schalke,
1599412917-143,https://www.oddsportal.com/soccer/england/championship/,Huddersfield - Norwich,https://www.oddsportal.com/soccer/england/championship/huddersfield-norwich-6e2ZI6ad/,Championship,"Saturday, 12 Sep  2020, 14:00",Huddersfield - Norwich,
1599412194-63,https://www.oddsportal.com/soccer/usa/mls/,Columbus Crew - FC Cincinnati,https://www.oddsportal.com/soccer/usa/mls/columbus-crew-fc-cincinnati-b7MS3Nt5/,MLS,"Today, 06 Sep  2020, 23:30",Columbus Crew - FC Cincinnati,
1599411716-11,https://www.oddsportal.com/soccer/spain/laliga/,Valladolid - Real Sociedad,https://www.oddsportal.com/soccer/spain/laliga/valladolid-real-sociedad-YRRiOT9m/,LaLiga,"Sunday, 13 Sep  2020, 14:00",Valladolid - Real Sociedad,
1599412631-111,https://www.oddsportal.com/soccer/italy/serie-a/,Juventus - Sampdoria,https://www.oddsportal.com/soccer/italy/serie-a/juventus-sampdoria-8hnx01hl/,Serie A,"Sunday, 20 Sep  2020, 18:45",Juventus - Sampdoria,
1599412555-103,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Sporting - Gil Vicente,https://www.oddsportal.com/soccer/portugal/primeira-liga/sporting-gil-vicente-6HX7F1gC/,Primeira Liga,"Saturday, 19 Sep  2020, 17:30",Sporting - Gil Vicente,
1599412749-124,https://www.oddsportal.com/soccer/france/ligue-1/,Lens - Bordeaux,https://www.oddsportal.com/soccer/france/ligue-1/lens-bordeaux-0zmR5Ruh/,Ligue 1,"Saturday, 19 Sep  2020, 15:00",Lens - Bordeaux,
