HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Lokomotiv Moscow,Zenit St. Petersburg,RFPL,2020-08-30,0,0,0.3,0.61,7,9,1,0,8,11,12.29,11.12,0.91,1.62
Lokomotiv Moscow,FK Akhmat,RFPL,2020-08-26,2,3,1.93,1.24,17,10,5,5,11,9,5.91,9.12,1.91,0.84
FC Rotor Volgograd,Spartak Moscow,RFPL,2020-08-26,0,1,0.95,2.82,12,22,6,6,1,15,17.0,3.4,0.25,2.63
Lens,Paris Saint Germain,Ligue_1,2020-09-10,1,0,1.72,0.34,7,8,3,1,5,4,15.37,4.88,2.56,0.28
Zenit St. Petersburg,Arsenal Tula,RFPL,2020-09-14,3,1,3.11,0.44,22,14,5,4,10,3,12.78,13.74,2.84,0.1
FC Ufa,Spartak Moscow,RFPL,2020-08-19,1,1,0.27,2.85,7,21,2,5,1,17,23.17,6.19,0.07,2.88
Dinamo Moscow,FC Rotor Volgograd,RFPL,2020-08-15,0,0,1.49,0.13,21,3,3,2,8,3,11.05,14.73,2.57,0.25
Ural,Khimki,RFPL,2020-09-12,3,1,1.8,1.07,10,12,6,4,5,7,8.93,14.33,2.01,0.74
FC Tambov,FC Rostov,RFPL,2020-08-08,0,1,0.3,0.77,9,7,1,5,3,3,14.65,10.05,0.75,1.85
Brighton,Chelsea,Premier_League,2020-09-14,1,3,1.44,1.27,13,10,3,5,3,6,9.34,12.7,1.48,1.21
