web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1604423937-168,https://understat.com/league/Serie_A,332.822.36,https://understat.com/match/15473,AC Milan,Roma,Serie A,Oct 26 2020,3,3,2.82,2.36,13,12,8,7,11,7,13.42,17.0,1.68,1.08
1604424176-201,https://understat.com/league/La_liga,111.190.82,https://understat.com/match/14839,Levante,Celta Vigo,La liga,Oct 26 2020,1,1,1.19,0.82,10,11,3,3,10,3,6.03,8.41,1.72,0.95
1604424053-183,https://understat.com/league/EPL,342.451.00,https://understat.com/match/14495,Aston Villa,Southampton,EPL,Nov 01 2020,3,4,2.45,1.0,19,9,10,4,5,2,7.0,7.45,2.39,0.44
1604424014-179,https://understat.com/league/Bundesliga,131.493.66,https://understat.com/match/15193,Hoffenheim,Union Berlin,Bundesliga,Nov 02 2020,1,3,1.49,3.66,10,9,5,6,15,9,8.0,19.29,0.2,2.71
1604424246-211,https://understat.com/league/Ligue_1,211.401.04,https://understat.com/match/15842,Rennes,Brest,Ligue 1,Oct 31 2020,2,1,1.4,1.04,24,9,8,4,10,3,14.12,27.89,1.59,1.11
1604423803-150,https://understat.com/league/RFPL,121.792.54,https://understat.com/match/14323,FC Tambov,Dinamo Moscow,RFPL,Nov 01 2020,1,2,1.79,2.54,6,26,3,10,1,14,16.19,3.89,0.85,1.9
1604423906-163,https://understat.com/league/Serie_A,140.552.88,https://understat.com/match/15482,Spezia,Juventus,Serie A,Nov 01 2020,1,4,0.55,2.88,16,7,3,4,4,11,15.08,11.5,0.12,2.81
1604424209-205,https://understat.com/league/Ligue_1,210.911.42,https://understat.com/match/15841,Reims,Strasbourg,Ligue 1,Nov 01 2020,2,1,0.91,1.42,12,8,4,2,6,4,9.0,17.06,0.84,1.86
1604424072-186,https://understat.com/league/EPL,010.691.90,https://understat.com/match/14502,Sheffield United,Manchester City,EPL,Oct 31 2020,0,1,0.69,1.9,4,16,1,8,3,9,18.71,15.67,0.42,2.36
1604423957-170,https://understat.com/league/Bundesliga,111.250.40,https://understat.com/match/15192,Hertha Berlin,Wolfsburg,Bundesliga,Nov 01 2020,1,1,1.25,0.4,20,11,5,4,5,7,12.47,6.24,2.09,0.62
