AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League,Time
46.4,2,0,3,25,0,47.4,64.8,0,7,3,2,4,Rotherham United,60.0,2,,2020-10-20,1,1,429769,53.6,4,4,3,13,3,52.6,68.9,0,20,12,4,1,Nottingham Forest,80.0,0,Championship,1945
40.4,5,0,3,13,0,58.2,81.6,0,10,4,1,5,Luton Town,50.0,1,,2020-10-20,0,2,429767,59.6,4,1,8,15,1,41.8,79.3,0,21,11,6,1,Millwall,66.7,2,Championship,1945
43.8,4,2,4,7,3,43.5,61.5,0,9,4,1,0,Middlesbrough,100.0,2,,2020-10-20,1,0,429765,56.2,2,0,1,9,0,56.5,68.0,0,7,5,0,1,Bristol City,62.5,0,Championship,1945
60.6,4,0,3,10,2,43.6,65.8,0,10,3,3,4,Cardiff City,71.4,0,,2020-10-18,1,0,429761,39.4,2,0,9,9,0,56.4,73.9,0,7,1,4,2,Preston North End,50.0,1,Championship,1200
42.9,1,0,3,12,0,26.7,67.0,1,6,3,2,3,Birmingham City,76.9,3,,2020-10-20,0,1,429768,57.1,9,0,6,10,2,73.3,90.3,0,23,10,4,2,Norwich City,45.5,1,Championship,1945
52.0,2,1,6,10,1,48.6,64.2,0,13,2,9,3,Bristol City,83.3,0,,2020-10-17,2,2,429753,48.0,8,1,4,14,4,51.4,68.7,0,17,4,5,6,Barnsley,68.4,2,Championship,1500
37.1,0,0,2,11,3,50.0,70.4,0,6,3,3,1,Swansea City,71.4,1,,2020-10-20,1,1,429766,62.9,2,2,3,12,3,50.0,70.7,0,9,4,3,2,Coventry City,43.8,0,Championship,1945
45.2,4,2,5,15,4,46.3,74.5,0,13,2,7,1,Barnsley,75.0,0,,2020-10-21,2,2,429775,54.8,1,3,3,11,5,53.7,77.6,1,8,4,3,5,Stoke City,61.5,0,Championship,1945
46.9,2,0,4,11,1,52.9,80.7,0,14,7,5,2,Brentford,53.8,0,,2020-10-21,2,1,429774,53.1,2,0,3,14,3,47.1,75.2,0,6,1,3,3,Sheffield Wednesday,66.7,1,Championship,1945
63.3,7,2,8,12,4,65.7,82.9,0,19,5,7,2,Blackburn Rovers,56.3,0,,2020-10-21,1,3,429776,36.7,2,3,1,24,1,34.3,69.2,0,10,4,4,6,Watford,50.0,3,Championship,1945
50.0,5,1,5,11,1,46.1,74.9,0,12,5,2,2,Derby County,60.0,3,,2020-10-20,0,1,429772,50.0,6,2,6,15,0,53.9,79.1,0,20,11,3,2,Huddersfield Town,58.3,1,Championship,1945
33.9,4,1,4,12,0,41.1,70.2,0,14,7,3,2,Sheffield Wednesday,86.7,1,,2020-10-17,1,0,429754,66.1,2,0,5,12,1,58.9,82.5,0,10,6,2,2,Birmingham City,80.0,1,Championship,1500
56.3,0,1,2,9,4,43.0,66.8,0,8,5,3,0,Preston North End,42.9,1,,2020-10-21,2,0,429773,43.8,1,1,2,14,2,57.0,78.0,0,6,5,0,1,Queens Park Rangers,83.3,0,Championship,1945
53.8,4,3,6,15,0,66.6,83.0,0,17,7,6,2,Bournemouth,70.0,0,,2020-10-21,1,1,429771,46.2,3,0,6,18,0,33.4,64.7,0,13,7,3,5,Cardiff City,52.6,2,Championship,1945
47.8,3,1,2,15,0,48.1,76.6,0,8,4,1,2,Nimes,61.5,1,,2020-10-04,1,0,431416,52.2,5,0,8,14,2,51.9,72.5,0,12,5,2,0,Montpellier,57.1,2,Ligue_1,1200
36.4,3,3,1,10,2,54.1,83.4,0,12,3,6,2,Lille,69.6,1,"4,988.",2020-10-04,3,0,431420,63.6,5,1,11,11,0,45.9,80.0,0,15,7,3,3,Strasbourg,68.8,1,Ligue_1,1400
54.5,6,1,8,17,0,71.6,86.5,0,21,13,2,4,Monaco,63.6,4,"5,033.",2020-10-04,0,1,431412,45.5,0,0,1,10,1,28.4,65.2,0,7,2,5,2,Brest,47.8,3,Ligue_1,1400
29.2,3,0,3,15,1,41.9,76.4,0,10,3,4,5,Lorient,68.4,2,"5,000.",2020-10-04,1,3,431415,70.8,1,0,4,10,0,58.1,85.4,0,16,7,8,3,Metz,61.5,1,Ligue_1,1400
46.9,3,0,10,13,1,43.9,78.2,0,8,1,4,2,Bordeaux,46.2,1,,2020-10-17,1,3,431424,53.1,0,0,6,13,2,56.1,83.2,0,6,2,4,3,Marseille,73.3,3,Ligue_1,2000
