web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600972353-261","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Preston - Leeds","https://www.oddsportal.com/soccer/england/championship-2019-2020/preston-leeds-SfGW1DwE/","Tuesday, 22 Oct  2019, 18:45","Preston - Leeds","3.42","3.46","2.16","Final result"
"1600972306-242","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Millwall - Leeds","https://www.oddsportal.com/soccer/england/championship-2019-2020/millwall-leeds-f9deX1YM/","Saturday, 05 Oct  2019, 14:00","Millwall - Leeds","4.40","3.59","1.86","Final result"
"1600972256-222","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Wigan - Birmingham","https://www.oddsportal.com/soccer/england/championship-2019-2020/wigan-birmingham-jHw9L4ZA/","Tuesday, 01 Oct  2019, 18:45","Wigan - Birmingham","2.50","3.18","3.04","Final result"
"1600972403-281","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Barnsley - Bristol City","https://www.oddsportal.com/soccer/england/championship-2019-2020/barnsley-bristol-city-YeLp9Ups/","Friday, 01 Nov  2019, 18:45","Barnsley - Bristol City","2.57","3.61","2.67","Final result"
"1600972351-260","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","QPR - Reading","https://www.oddsportal.com/soccer/england/championship-2019-2020/qpr-reading-bHJe0029/","Tuesday, 22 Oct  2019, 18:45","QPR - Reading","1.98","3.74","3.69","Final result"
"1600972703-401","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","West Brom - Middlesbrough","https://www.oddsportal.com/soccer/england/championship-2019-2020/west-brom-middlesbrough-UPqSLWu7/","Sunday, 29 Dec  2019, 14:00","West Brom - Middlesbrough","1.65","3.98","5.31","Final result"
"1600972100-160","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Cardiff - Huddersfield","https://www.oddsportal.com/soccer/england/championship-2019-2020/cardiff-huddersfield-f56qG3bO/","Wednesday, 21 Aug  2019, 18:45","Cardiff - Huddersfield","2.04","3.39","3.83","Final result"
"1600972649-379","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","West Brom - Brentford","https://www.oddsportal.com/soccer/england/championship-2019-2020/west-brom-brentford-rZUAdGCe/","Saturday, 21 Dec  2019, 14:00","West Brom - Brentford","2.27","3.26","3.36","Final result"
"1600972984-512","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Wigan - Millwall","https://www.oddsportal.com/soccer/england/championship-2019-2020/wigan-millwall-IJVC7kvt/","Saturday, 22 Feb  2020, 14:00","Wigan - Millwall","2.79","2.99","2.83","Final result"
"1600973154-581","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Nottingham - Huddersfield","https://www.oddsportal.com/soccer/england/championship-2019-2020/nottingham-huddersfield-84btIIFC/","Sunday, 28 Jun  2020, 13:15","Nottingham - Huddersfield","2.15","3.19","3.71","Final result"
"1600972188-195","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Blackburn - Millwall","https://www.oddsportal.com/soccer/england/championship-2019-2020/blackburn-millwall-dvryJjdF/","Saturday, 14 Sep  2019, 14:00","Blackburn - Millwall","2.12","3.35","3.69","Final result"
"1600972037-135","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Charlton - Stoke","https://www.oddsportal.com/soccer/england/championship-2019-2020/charlton-stoke-city-2sllYS0Q/","Saturday, 10 Aug  2019, 14:00","Charlton - Stoke","3.10","3.14","2.52","Final result"
"1600972075-150","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Sheffield Wed - Luton","https://www.oddsportal.com/soccer/england/championship-2019-2020/sheffield-wed-luton-Y3Vnis75/","Tuesday, 20 Aug  2019, 18:45","Sheffield Wed - Luton","1.70","3.82","5.10","Final result"
