web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600979726-1523","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hamilton - Rangers","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hamilton-rangers-SMhjdNg3/","Sunday, 24 Feb  2019, 11:15","Hamilton - Rangers","11.44","5.70","1.26","Final result"
"1600979361-1388","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St Johnstone - Aberdeen","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-johnstone-aberdeen-48NGHL2c/","Saturday, 15 Sep  2018, 14:00","St Johnstone - Aberdeen","3.40","3.22","2.26","Final result"
"1600979766-1539","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hamilton - Hearts","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hamilton-hearts-KEUKczV7/","Saturday, 16 Mar  2019, 14:00","Hamilton - Hearts","4.37","3.63","1.82","Final result"
"1600979893-1590","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hamilton - St Johnstone","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hamilton-st-johnstone-hMT2F9c3/","Saturday, 18 May  2019, 11:30","Hamilton - St Johnstone","2.51","3.26","2.86","Final result"
"1600979351-1384","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Dundee FC - Motherwell","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/dundee-fc-motherwell-Q1zk3Mm4/","Saturday, 01 Sep  2018, 14:00","Dundee FC - Motherwell","3.06","3.45","2.32","Final result"
"1600979798-1552","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Livingston - Hamilton","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/livingston-hamilton-b3fEHULt/","Wednesday, 03 Apr  2019, 18:45","Livingston - Hamilton","1.71","3.70","5.07","Final result"
"1600979650-1493","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Celtic - St. Mirren","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/celtic-st-mirren-v58uDCZI/","Wednesday, 23 Jan  2019, 18:45","Celtic - St. Mirren","1.10","9.32","26.86","Final result"
"1600979616-1480","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hearts - Hamilton","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hearts-hamilton-4nfc0ZkD/","Wednesday, 26 Dec  2018, 14:00","Hearts - Hamilton","1.48","4.30","6.74","Final result"
"1600979595-1472","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hamilton - Kilmarnock","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hamilton-kilmarnock-vN1B9wTQ/","Saturday, 22 Dec  2018, 14:00","Hamilton - Kilmarnock","4.80","3.73","1.74","Final result"
"1600979756-1535","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Celtic - Aberdeen","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/celtic-aberdeen-EwHX80w9/","Saturday, 09 Mar  2019, 14:00","Celtic - Aberdeen","1.38","4.66","8.76","Final result"
"1600979406-1406","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hibernian - Hamilton","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hibernian-hamilton-4jUpLf9k/","Saturday, 06 Oct  2018, 14:00","Hibernian - Hamilton","1.38","4.71","8.45","Final result"
"1600979801-1553","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hibernian - Kilmarnock","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hibernian-kilmarnock-MwXpZdiE/","Wednesday, 03 Apr  2019, 18:45","Hibernian - Kilmarnock","2.38","3.17","3.15","Final result"
"1600979713-1518","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - Celtic","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-celtic-KGVOu29M/","Sunday, 17 Feb  2019, 15:00","Kilmarnock - Celtic","7.27","4.35","1.45","Final result"
