,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
105,1600446973-127,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Inter de Milão
              
                Fiorentina",https://www.betano.pt/odds/inter-de-milao-fiorentina/6470818/,Série A,"Sábado, 26 Setembro 2020 19:45",Inter de Milão,Fiorentina,1.5,4.35,5.6,1.55,2.05,Mais de2.5,1.15,3.85,Mais de1.5,2.4,1.4,Mais de3.5,1.65,1.9,Ambas Equipas Marcam (Sim/Não),1.11,1.15,2.45,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:34"
106,1600447248-157,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Everton
              
                West Brom",https://www.betano.pt/odds/everton-west-brom/6283413/,Premier League,"Sábado, 19 Setembro 2020 12:30",Everton,West Brom,1.5,4.05,5.95,1.70,1.85,Mais de2.5,1.21,3.3,Mais de1.5,2.72,1.31,Mais de3.5,1.8,1.75,Ambas Equipas Marcam (Sim/Não),1.09,1.17,2.4,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:37"
107,1600446416-69,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Coventry City
              
                Queens Park Rangers",https://www.betano.pt/odds/coventry-city-queens-park-rangers/6292099/,Championship,"Sexta-feira, 18 Setembro 2020 19:45",Coventry City,Queens Park Rangers,2.45,3.2,2.8,1.87,1.63,Mais de2.5,1.27,2.74,Mais de1.5,3.1,1.21,Mais de3.5,1.65,1.83,Ambas Equipas Marcam (Sim/Não),1.38,1.26,1.47,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:23"
108,1600446225-48,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Preston
              
                Stoke City",https://www.betano.pt/odds/preston-stoke-city/6347467/,Championship,"Sábado, 26 Setembro 2020 15:00",Preston,Stoke City,2.45,3.15,2.84,2.10,1.47,Mais de2.5,1.35,2.45,Mais de1.5,3.65,1.14,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.38,1.27,1.47,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:23"
109,1600446910-120,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Benevento Calcio
              
                Inter de Milão",https://www.betano.pt/odds/benevento-calcio-inter-de-milao/6400665/,Série A,"Quarta-feira, 30 Setembro 2020 14:00",Benevento Calcio,Inter de Milão,8.0,4.7,1.35,2.14,1.5,Mais de3.5,1.13,4.1,Mais de1.5,1.45,2.25,Mais de2.5,1.67,1.88,Ambas Equipas Marcam (Sim/Não),2.96,1.13,1.04,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:34"
110,1600447205-152,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Newcastle
              
                Brighton",https://www.betano.pt/odds/newcastle-brighton/6283430/,Premier League,"Domingo, 20 Setembro 2020 14:00",Newcastle,Brighton,2.54,3.05,2.78,2.16,1.5,Mais de2.5,1.38,2.45,Mais de1.5,3.85,1.15,Mais de3.5,1.85,1.7,Ambas Equipas Marcam (Sim/Não),1.38,1.3,1.45,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:37"
111,1600446370-64,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Middlesbrough
              
                Bournemouth",https://www.betano.pt/odds/middlesbrough-bournemouth/6292104/,Championship,"Sábado, 19 Setembro 2020 15:00",Middlesbrough,Bournemouth,2.72,3.2,2.5,1.90,1.6,Mais de2.5,1.28,2.7,Mais de1.5,3.2,1.19,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.47,1.26,1.4,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:23"
112,1600446709-99,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Getafe
              
                CA Osasuna",https://www.betano.pt/odds/getafe-ca-osasuna/6444105/,LaLiga,"Sábado, 19 Setembro 2020 17:30",Getafe,CA Osasuna,1.95,3.05,4.2,1.50,2.19,Mais de1.5,2.50,1.36,Mais de2.5,4.7,1.09,Mais de3.5,2.17,1.5,Ambas Equipas Marcam (Sim/Não),1.19,1.28,1.75,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:29"
113,1600446850-114,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"CD Nacional Madeira
              
                Boavista FC",https://www.betano.pt/odds/cd-nacional-madeira-boavista-fc/6361733/,Primeira Liga,"Sábado, 19 Setembro 2020 16:00",CD Nacional Madeira,Boavista FC,2.54,2.98,2.86,1.42,2.33,Mais de1.5,2.33,1.42,Mais de2.5,4.2,1.12,Mais de3.5,1.95,1.63,Ambas Equipas Marcam (Sim/Não),1.36,1.31,1.45,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:31"
114,1600446151-41,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Montpellier
              
                Angers",https://www.betano.pt/odds/montpellier-angers/6374153/,Ligue 1,"Domingo, 20 Setembro 2020 14:00",Montpellier,Angers,2.1,3.2,3.45,2.05,1.5,Mais de2.5,1.35,2.45,Mais de1.5,3.65,1.14,Mais de3.5,1.83,1.65,Ambas Equipas Marcam (Sim/Não),1.26,1.26,1.65,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:21"
