web-scraper-order,web-scraper-start-url,Leagues,Leagues-href,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2
"1595017190-23","https://www.betano.pt/sport/futebol/","Premier Liga","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","CSKA Moscovo
              
                Tambov","https://www.betano.pt/odds/cska-moscovo-tambov/5984757/","Premier Liga","Quarta-feira, 22 Julho 2020 17:00","CSKA Moscovo","Tambov","1.22","4.33","7.65","2.00","1.47","1.02","1.13","3.30"
"1595017255-35","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Atalanta
              
                Bolonha","https://www.betano.pt/odds/atalanta-bolonha/5976741/","Série A","Terça-feira, 21 Julho 2020 18:30","Atalanta","Bolonha","1.31","5.35","7.70","1.53","2.12","1.05","1.09","3.15"
"1595017183-22","https://www.betano.pt/sport/futebol/","Premier Liga","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","Dinamo Moscovo
              
                FK Gazovik Orenburg","https://www.betano.pt/odds/dinamo-moscovo-fk-gazovik-orenburg/5984758/","Premier Liga","Quarta-feira, 22 Julho 2020 17:00","Dinamo Moscovo","FK Gazovik Orenburg","1.32","3.65","6.80","2.00","1.47","1.03","1.19","2.78"
"1595017305-45","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Hellas Verona
              
                Atalanta","https://www.betano.pt/odds/hellas-verona-atalanta/5949616/","Série A","Sábado, 18 Julho 2020 16:15","Hellas Verona","Atalanta","6.45","5.10","1.42","1.47","2.20","2.70","1.12","1.09"
"1595017330-49","https://www.betano.pt/sport/futebol/","LaLiga","https://www.betano.pt/sport/futebol/espanha/laliga/5r/","Leganés
              
                Real Madrid","https://www.betano.pt/odds/leganes-real-madrid/5979285/","LaLiga","Domingo, 19 Julho 2020 20:00","Leganés","Real Madrid","2.78","3.65","2.25","1.57","2.02","1.57","1.22","1.38"
"1595017360-55","https://www.betano.pt/sport/futebol/","LaLiga","https://www.betano.pt/sport/futebol/espanha/laliga/5r/","Alavés
              
                Barcelona","https://www.betano.pt/odds/alaves-barcelona/5979271/","LaLiga","Domingo, 19 Julho 2020 16:00","Alavés","Barcelona","5.05","3.85","1.61","1.60","2.00","2.17","1.20","1.13"
"1595017480-77","https://www.betano.pt/sport/futebol/","Premier League","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1r/","West Ham
              
                Watford
                    AO VIVO","https://www.betano.pt/live/west-ham-watford/5882510/","null","null","null","null","null","null","null","null","null","null","null","null"
"1595017340-51","https://www.betano.pt/sport/futebol/","LaLiga","https://www.betano.pt/sport/futebol/espanha/laliga/5r/","Espanhol
              
                Celta de Vigo","https://www.betano.pt/odds/espanhol-celta-de-vigo/5979282/","LaLiga","Domingo, 19 Julho 2020 20:00","Espanhol","Celta de Vigo","5.40","3.55","1.63","1.83","1.72","2.14","1.22","1.12"
"1595017452-71","https://www.betano.pt/sport/futebol/","Premier League","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1r/","Wolverhampton
              
                Crystal Palace FC","https://www.betano.pt/odds/wolverhampton-crystal-palace-fc/5793738/","Premier League","Segunda-feira, 20 Julho 2020 20:15","Wolverhampton","Crystal Palace FC","1.50","3.85","6.65","2.20","1.47","1.07","1.19","2.40"
"1595017240-32","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Inter de Milão
              
                Fiorentina","https://www.betano.pt/odds/inter-de-milao-fiorentina/5976745/","Série A","Quarta-feira, 22 Julho 2020 20:45","Inter de Milão","Fiorentina","1.53","4.25","5.20","1.65","1.90","1.12","1.16","2.33"
