web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
"1603112048-130","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/","Leeds United
              
                Wolverhampton
                SO","https://www.betano.pt/odds/leeds-united-wolverhampton/6493467/","Premier League","Segunda-feira, 19 Outubro 2020 20:00","Leeds United","Wolverhampton","2.48","3.51","3.19","1.80","1.80","Mais de2.5","1.25","3.05","Mais de1.5","2.90","1.27","Mais de3.5","1.61","1.95","Ambas Equipas Marcam (Sim/Não)","1.35","1.27","1.53","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:51","SO"
"1603111124-20","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Bayer Leverkusen
              
                Augsburgo","https://www.betano.pt/odds/bayer-leverkusen-augsburgo/6700535/","Bundesliga","Segunda-feira, 26 Outubro 2020 19:30","Bayer Leverkusen","Augsburgo","1.61","4.05","4.70","1.47","2.20","Mais de2.5","1.13","4.05","Mais de1.5","2.20","1.47","Mais de3.5","1.50","2.14","Ambas Equipas Marcam (Sim/Não)","1.15","1.18","2.17","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:37","null"
"1603111180-27","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Bayern Munique
              
                Eintracht Frankfurt","https://www.betano.pt/odds/bayern-munique-eintracht-frankfurt/6700528/","Bundesliga","Sábado, 24 Outubro 2020 14:30","Bayern Munique","Eintracht Frankfurt","1.19","6.80","11.00","2.10","1.53","Mais de4.5","1.03","6.40","Mais de1.5","1.18","3.55","Mais de2.5","1.47","2.20","Ambas Equipas Marcam (Sim/Não)","1.02","1.09","4.15","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:37","null"
"1603111719-91","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Atlético de Madrid
              
                Bétis","https://www.betano.pt/odds/atletico-de-madrid-betis/6711912/","LaLiga","Sábado, 24 Outubro 2020 20:00","Atlético de Madrid","Bétis","1.57","3.90","5.40","1.95","1.61","Mais de2.5","1.30","2.78","Mais de1.5","3.45","1.19","Mais de3.5","2.02","1.57","Ambas Equipas Marcam (Sim/Não)","1.11","1.19","2.25","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:46","null"
"1603111882-110","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Atalanta
              
                Sampdoria","https://www.betano.pt/odds/atalanta-sampdoria/6797415/","Série A","Sábado, 24 Outubro 2020 14:00","Atalanta","Sampdoria","1.38","4.95","6.55","1.72","1.83","Mais de3.5","1.06","5.35","Mais de1.5","1.28","2.86","Mais de2.5","1.42","2.35","Ambas Equipas Marcam (Sim/Não)","1.07","1.11","2.82","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:50","null"
"1603111365-49","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Nottingham Forest
              
                Derby County","https://www.betano.pt/odds/nottingham-forest-derby-county/6597600/","Championship","Sexta-feira, 23 Outubro 2020 19:45","Nottingham Forest","Derby County","2.00","3.35","3.55","2.02","1.53","Mais de2.5","1.31","2.58","Mais de1.5","3.50","1.16","Mais de3.5","1.83","1.65","Ambas Equipas Marcam (Sim/Não)","1.25","1.23","1.72","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:41","null"
"1603111616-78","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Granada CF
              
                Levante","https://www.betano.pt/odds/granada-cf-levante/6830252/","LaLiga","Domingo, 1 Novembro 2020 17:30","Granada CF","Levante","2.04","3.30","3.50","1.91","1.65","Mais de2.5","1.30","2.80","Mais de1.5","3.30","1.21","Mais de3.5","1.75","1.80","Ambas Equipas Marcam (Sim/Não)","1.26","1.26","1.70","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:46","null"
"1603111977-121","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/","Brighton
              
                West Brom","https://www.betano.pt/odds/brighton-west-brom/6648941/","Premier League","Segunda-feira, 26 Outubro 2020 17:30","Brighton","West Brom","1.75","3.85","4.05","1.67","1.87","Mais de2.5","1.20","3.35","Mais de1.5","2.74","1.31","Mais de3.5","1.65","1.90","Ambas Equipas Marcam (Sim/Não)","1.20","1.19","1.95","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:51","null"
"1603111850-106","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Fiorentina
              
                Udinese","https://www.betano.pt/odds/fiorentina-udinese/6797421/","Série A","Domingo, 25 Outubro 2020 17:00","Fiorentina","Udinese","1.72","3.70","4.35","1.72","1.83","Mais de2.5","1.22","3.20","Mais de1.5","2.80","1.30","Mais de3.5","1.67","1.88","Ambas Equipas Marcam (Sim/Não)","1.18","1.21","1.95","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:50","null"
"1603111734-93","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Barcelona
              
                Real Madrid","https://www.betano.pt/odds/barcelona-real-madrid/6385298/","LaLiga","Sábado, 24 Outubro 2020 15:00","Barcelona","Real Madrid","2.14","3.50","3.05","1.63","1.95","Mais de2.5","1.18","3.50","Mais de1.5","2.54","1.36","Mais de3.5","1.50","2.13","Ambas Equipas Marcam (Sim/Não)","1.32","1.23","1.63","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:46","null"
