,HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
101,Sheffield United,Everton,Premier_League,2020-07-20,0,1,0.47,0.62,8,5,0,2,5,3,11.4,13.06,1.06,1.52
102,Brighton,Newcastle United,Premier_League,2020-07-20,0,0,0.86,0.93,11,12,3,1,4,3,6.73,15.43,1.27,1.39
103,Aston Villa,Arsenal,Premier_League,2020-07-21,1,0,0.57,0.74,8,7,3,0,4,6,18.63,6.29,1.14,1.47
104,Watford,Manchester City,Premier_League,2020-07-21,0,4,0.13,3.74,2,26,0,10,2,9,21.0,4.48,0.01,2.99
105,Manchester United,West Ham,Premier_League,2020-07-22,1,1,0.98,1.29,11,12,4,3,13,2,11.85,13.39,1.04,1.63
106,Liverpool,Chelsea,Premier_League,2020-07-22,5,3,1.45,2.38,10,10,7,5,5,3,12.1,14.75,0.67,2.11
107,Leicester,Manchester United,Premier_League,2020-07-26,0,2,0.75,1.41,14,7,3,3,2,9,9.86,8.03,0.74,1.98
108,Crystal Palace,Tottenham,Premier_League,2020-07-26,1,1,0.99,0.31,13,7,2,2,6,3,13.24,6.31,2.05,0.62
109,Manchester City,Norwich,Premier_League,2020-07-26,5,0,3.57,0.79,31,5,10,4,37,2,6.6,31.0,2.79,0.14
110,Newcastle United,Liverpool,Premier_League,2020-07-26,1,3,0.34,0.57,3,14,2,6,0,7,19.17,6.0,1.07,1.46
111,Arsenal,Watford,Premier_League,2020-07-26,3,2,1.95,3.92,13,19,5,6,11,11,16.42,11.32,0.35,2.53
112,Everton,Bournemouth,Premier_League,2020-07-26,1,3,1.75,1.46,13,13,5,7,13,7,5.35,13.56,1.59,1.1
113,Burnley,Brighton,Premier_League,2020-07-26,1,2,1.44,1.37,13,14,2,4,5,4,5.93,16.36,1.43,1.29
114,Chelsea,Wolverhampton Wanderers,Premier_League,2020-07-26,2,0,1.16,0.16,11,5,3,1,7,2,6.83,14.52,2.27,0.43
115,Southampton,Sheffield United,Premier_League,2020-07-26,3,1,1.64,1.41,13,5,4,3,10,1,6.8,17.61,1.52,1.18
116,West Ham,Aston Villa,Premier_League,2020-07-26,1,1,0.78,0.98,10,13,1,4,2,4,7.22,10.64,1.16,1.49
117,Inter,Napoli,Serie_A,2020-07-28,2,0,0.59,1.17,8,18,6,2,5,4,21.36,17.31,0.84,1.85
