web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600976464-764","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Venlo - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/venlo-vitesse-AeLNDyBG/","Saturday, 19 Oct  2019, 18:45","Venlo - Vitesse","4.32","3.90","1.77","Final result"
"1600976886-929","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","AZ Alkmaar - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/az-alkmaar-feyenoord-d4DXSMYA/","Wednesday, 08 Apr  2020, 16:45","AZ Alkmaar - Feyenoord","-","-","-","Canceled"
"1600976878-926","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Feyenoord - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/feyenoord-ajax-UijYArEI/","Sunday, 22 Mar  2020, 12:30","Feyenoord - Ajax","-","-","-","Canceled"
"1600976906-937","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Willem II - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/willem-ii-ajax-nkEczKbR/","Sunday, 26 Apr  2020, 12:30","Willem II - Ajax","-","-","-","Canceled"
"1600976275-688","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","AZ Alkmaar - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/az-alkmaar-sittard-IL4OnTfP/","Sunday, 04 Aug  2019, 18:00","AZ Alkmaar - Sittard","1.24","6.39","11.05","Final result"
"1600976335-712","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Zwolle - Sparta Rotterdam","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/zwolle-sparta-rotterdam-KQGXjZiS/","Sunday, 25 Aug  2019, 14:45","Zwolle - Sparta Rotterdam","2.57","3.68","2.56","Final result"
"1600976947-953","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-groningen-Umz22xrK/","Sunday, 10 May  2020, 12:30","Heracles - Groningen","-","-","-","Canceled"
"1600976638-831","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","AZ Alkmaar - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/az-alkmaar-ajax-SYpVilkj/","Sunday, 15 Dec  2019, 14:45","AZ Alkmaar - Ajax","2.62","3.83","2.44","Final result"
"1600976354-720","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-az-alkmaar-xSvzaWqk/","Sunday, 01 Sep  2019, 14:45","Vitesse - AZ Alkmaar","2.78","3.67","2.39","Final result"
"1600976913-940","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Waalwijk - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/waalwijk-sittard-4QpOjuq8/","Sunday, 03 May  2020, 12:30","Waalwijk - Sittard","2.34","3.49","2.66","Canceled"
