League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Liga_Europa,2020-10-22,2000,Hoffenheim,Estrela Vermelha,1.42,4.33,6.8,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,2000,Leicester,FC Zorya Luhansk,1.28,4.95,10.0,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,2000,Villarreal,Sivasspor,1.42,4.2,7.2,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,2000,Ludogorets,Antuerpia,2.2,3.2,3.2,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,2000,FC Slovan Liberec,Gent,3.0,3.05,2.4,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,2000,Dinamo Zagreb,Feyenoord,2.4,3.2,2.86,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,2000,SC Braga,AEK Atenas,1.78,3.55,4.25,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,2000,Tottenham,Linz,1.42,4.35,6.85,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,2000,Celtic,AC Milao,3.6,3.3,2.0,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,2000,Wolfsberger AC,CSKA Moscovo,3.2,3.6,2.05,None,None,None,None,None,None,None,None,2020-10-04,2256
Bundesliga,2020-10-23,1930,Estugarda,Colonia,1.78,3.6,4.15,None,None,None,None,None,None,None,None,2020-10-04,2247
Bundesliga,2020-10-24,1430,1. FC Union Berlin,Friburgo,2.37,3.55,2.67,None,None,None,None,None,None,None,None,2020-10-04,2247
Bundesliga,2020-10-24,1430,Mainz 05,Borussia Monchengladbach,3.7,3.6,1.88,None,None,None,None,None,None,None,None,2020-10-04,2247
Bundesliga,2020-10-24,1430,Bayern Munique,Eintracht Frankfurt,1.17,6.75,13.0,None,None,None,None,None,None,None,None,2020-10-04,2247
Bundesliga,2020-10-24,1430,RB Leipzig,Hertha Berlin,1.28,5.2,9.0,None,None,None,None,None,None,None,None,2020-10-04,2247
Bundesliga,2020-10-24,1730,Borussia Dortmund,FC Schalke 04,1.19,6.6,11.5,None,None,None,None,None,None,None,None,2020-10-04,2247
Bundesliga,2020-10-25,1430,Wolfsburgo,Arminia Bielefeld,1.6,4.45,4.45,None,None,None,None,None,None,None,None,2020-10-04,2247
Bundesliga,2020-10-25,1700,Werder Bremen,Hoffenheim,2.9,3.45,2.25,None,None,None,None,None,None,None,None,2020-10-04,2247
La_Liga,2020-10-25,2000,Barcelona,Real Madrid,2.25,3.65,2.76,1.45,2.25,1.4,2.4,1.38,None,1.57,None,2020-10-04,2305
Bundesliga,2020-10-26,1930,Bayer Leverkusen,Augsburgo,1.53,4.95,4.4,None,None,None,None,None,None,None,None,2020-10-04,2247
Champions,2020-10-27,1755,Shakhtar Donetsk,Inter de Milao,3.4,3.45,2.02,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-27,1755,Lokomotiv Moscovo,Bayern Munique,11.0,4.9,1.28,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-27,2000,Marselha,Manchester City,8.0,4.15,1.4,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-27,2000,Atalanta,Ajax,1.78,3.5,4.33,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-27,2000,Borussia Monchengladbach,Real Madrid,5.8,3.8,1.55,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-27,2000,Liverpool,FC Midtjylland,1.17,6.0,17.0,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-27,2000,FC Porto,Olympiacos,1.85,3.25,4.3,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-27,2000,Atletico de Madrid,Salzburgo,1.53,3.65,6.55,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-28,1755,Istanbul Basaksehir,PSG,8.5,4.15,1.38,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-28,1755,Krasnodar,Chelsea,4.95,3.7,1.65,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-28,2000,Manchester United,RB Leipzig,1.88,3.4,3.95,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-28,2000,Juventus,Barcelona,2.33,3.1,3.05,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-28,2000,Borussia Dortmund,Zenit Sao Petersburgo,1.5,3.7,7.3,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-28,2000,Ferencvaros,Dinamo Kiev,3.35,3.2,2.13,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-28,2000,Club Brugge,Lazio,3.65,3.4,1.95,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-28,2000,Sevilha,Rennes,1.67,3.35,5.35,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-03,1755,Shakhtar Donetsk,Borussia Monchengladbach,2.05,3.4,3.35,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-03,2000,Atalanta,Liverpool,3.25,3.5,2.05,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-03,2000,FC Porto,Marselha,2.02,3.35,3.5,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-03,2000,Salzburgo,Bayern Munique,5.1,4.3,1.53,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-03,2000,FC Midtjylland,Ajax,3.0,3.4,2.2,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-03,2000,Real Madrid,Inter de Milao,1.8,3.55,4.1,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-03,2000,Manchester City,Olympiacos,1.15,6.45,17.0,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-04,1755,Zenit Sao Petersburgo,Lazio,2.84,3.25,2.37,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-04,1755,Istanbul Basaksehir,Manchester United,4.8,3.65,1.67,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-04,2000,Sevilha,Krasnodar,1.47,3.7,7.5,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-04,2000,RB Leipzig,PSG,3.45,3.35,2.04,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-04,2000,Ferencvaros,Juventus,9.0,4.8,1.31,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-04,2000,Club Brugge,Borussia Dortmund,4.55,3.55,1.72,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-04,2000,Barcelona,Dinamo Kiev,1.24,5.35,11.5,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-11-04,2000,Chelsea,Rennes,1.57,3.65,5.8,None,None,None,None,None,None,None,None,2020-10-04,2259
