League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Liga_Europa,2020-10-22,1755,FC Dundalk,Molde FK,4.15,3.7,1.75,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,1755,CSKA Sofia,Cluj,2.54,3.1,2.74,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,1755,HNK Rijeka,Real Sociedad,4.55,3.8,1.67,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,1755,Rapid Viena,Arsenal,4.95,4.05,1.57,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,1755,Napoles,AZ Alkmaar,1.47,4.45,5.8,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,Tottenham,Linz,1.4,4.7,6.5,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,Leicester,FC Zorya Luhansk,1.26,5.35,10.0,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,Ludogorets,Antuerpia,2.25,3.35,2.96,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,SC Braga,AEK Atenas,1.91,3.4,3.8,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,Celtic,AC Milao,3.4,3.45,2.02,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,Sparta Praga,Lille,2.78,3.1,2.52,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,Dinamo Zagreb,Feyenoord,2.3,3.4,2.86,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,Villarreal,Sivasspor,1.31,5.0,8.5,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,Wolfsberger AC,CSKA Moscovo,3.35,3.5,2.02,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,Maccabi Tel Aviv,Qarabag FK,1.88,3.35,4.0,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,Hoffenheim,Estrela Vermelha,1.42,4.65,6.4,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,2000,FC Slovan Liberec,Gent,3.1,3.3,2.2,None,None,None,None,None,None,None,None,2020-10-09,1544
Bundesliga,2020-10-23,1930,Estugarda,Colonia,1.78,3.6,4.15,None,None,None,None,None,None,None,None,2020-10-09,1534
Premier_League,2020-10-24,1230,West Ham,Manchester City,9.0,5.9,1.25,1.28,2.82,1.57,2.02,2.94,None,1.02,None,2020-10-09,1601
Bundesliga,2020-10-24,1430,Bayern Munique,Eintracht Frankfurt,1.17,6.75,13.0,None,None,None,None,None,None,None,None,2020-10-09,1534
Bundesliga,2020-10-24,1430,RB Leipzig,Hertha Berlin,1.28,5.2,9.0,None,None,None,None,None,None,None,None,2020-10-09,1534
Bundesliga,2020-10-24,1430,Mainz 05,Borussia Monchengladbach,3.7,3.6,1.88,None,None,None,None,None,None,None,None,2020-10-09,1534
Bundesliga,2020-10-24,1430,1. FC Union Berlin,Friburgo,2.37,3.55,2.67,None,None,None,None,None,None,None,None,2020-10-09,1534
Premier_League,2020-10-24,1500,Brighton,West Brom,1.95,3.45,3.6,1.67,1.87,1.57,2.02,1.25,None,1.75,None,2020-10-09,1601
Premier_League,2020-10-24,1500,Aston Villa,Leeds United,2.62,3.25,2.56,1.78,1.75,1.6,2.0,1.45,None,1.42,None,2020-10-09,1601
Premier_League,2020-10-24,1500,Liverpool,Sheffield United,1.2,6.35,11.5,1.33,2.66,1.75,1.8,1.02,None,4.1,None,2020-10-09,1601
Premier_League,2020-10-24,1500,Fulham,Crystal Palace FC,2.86,3.2,2.4,1.88,1.67,1.67,1.88,1.50,None,1.36,None,2020-10-09,1601
Eredivisie,2020-10-24,1530,VVV Venlo,Ajax,11.75,6.0,1.21,None,None,None,None,None,None,None,None,2020-10-09,1531
Premier_League,2020-10-24,1600,Arsenal,Leicester,2.04,3.9,3.0,1.35,2.6,1.32,2.67,1.33,None,1.7,None,2020-10-09,1601
Premier_League,2020-10-24,1730,Manchester United,Chelsea,2.56,3.25,2.63,1.63,1.95,1.5,2.17,1.42,None,1.45,None,2020-10-09,1601
Bundesliga,2020-10-24,1730,Borussia Dortmund,FC Schalke 04,1.19,6.6,11.5,None,None,None,None,None,None,None,None,2020-10-09,1534
Eredivisie,2020-10-24,1745,FC Utrecht,FC Twente Enschede,1.57,3.75,5.65,None,None,None,None,None,None,None,None,2020-10-09,1531
Eredivisie,2020-10-24,1900,Den Haag,AZ Alkmaar,5.65,3.75,1.57,None,None,None,None,None,None,None,None,2020-10-09,1531
Eredivisie,2020-10-24,2000,SC Heerenveen,FC Emmen,1.57,3.75,5.65,None,None,None,None,None,None,None,None,2020-10-09,1531
Eredivisie,2020-10-25,1115,RKC Waalwijk,Feyenoord,11.75,6.0,1.21,None,None,None,None,None,None,None,None,2020-10-09,1531
Eredivisie,2020-10-25,1330,Vitesse,PSV Eindhoven,2.9,3.55,2.2,None,None,None,None,None,None,None,None,2020-10-09,1531
Eredivisie,2020-10-25,1330,Fortuna Sittard,FC Groningen,2.52,3.4,2.56,None,None,None,None,None,None,None,None,2020-10-09,1531
Premier_League,2020-10-25,1400,Southampton,Everton,3.0,3.3,2.25,1.83,1.72,1.65,1.91,1.55,None,1.33,None,2020-10-09,1601
Bundesliga,2020-10-25,1430,Wolfsburgo,Arminia Bielefeld,1.6,4.45,4.45,None,None,None,None,None,None,None,None,2020-10-09,1534
Eredivisie,2020-10-25,1545,Sparta Rotterdam,Heracles Almelo,2.2,3.55,2.9,None,None,None,None,None,None,None,None,2020-10-09,1531
Eredivisie,2020-10-25,1545,PEC Zwolle,Willem II Tilburg,2.52,3.4,2.56,None,None,None,None,None,None,None,None,2020-10-09,1531
Premier_League,2020-10-25,1630,Wolverhampton,Newcastle,1.72,3.7,4.3,1.91,1.65,1.85,1.7,1.18,None,1.95,None,2020-10-09,1601
La_Liga,2020-10-25,1700,Atletico de Madrid,Betis,1.57,3.75,5.6,2.02,1.57,2.02,1.57,1.11,None,2.2,None,2020-10-09,1555
La_Liga,2020-10-25,1700,Real Sociedad,Huesca,1.5,3.85,6.55,2.13,1.50,2.25,1.45,1.07,None,2.4,None,2020-10-09,1555
La_Liga,2020-10-25,1700,Sevilha,Eibar,1.38,4.75,6.95,1.55,2.05,1.8,1.75,1.06,None,2.82,None,2020-10-09,1555
La_Liga,2020-10-25,1700,CA Osasuna,Athletic Bilbao,2.8,2.86,2.67,2.56,1.35,2.1,1.53,1.42,None,1.38,None,2020-10-09,1555
La_Liga,2020-10-25,1700,Getafe,Granada CF,1.87,2.94,4.9,2.66,1.33,2.3,1.44,1.14,None,1.83,None,2020-10-09,1555
La_Liga,2020-10-25,1700,Elche CF,Valencia,3.05,2.9,2.45,2.35,1.42,1.95,1.63,1.47,None,1.33,None,2020-10-09,1555
Bundesliga,2020-10-25,1700,Werder Bremen,Hoffenheim,2.9,3.45,2.25,None,None,None,None,None,None,None,None,2020-10-09,1534
La_Liga,2020-10-25,1700,Real Valladolid,Alaves,2.5,2.7,3.25,2.84,1.28,2.2,1.47,1.30,None,1.47,None,2020-10-09,1555
La_Liga,2020-10-25,1700,Barcelona,Real Madrid,2.25,3.3,3.0,1.63,1.95,1.5,2.19,1.33,None,1.57,None,2020-10-09,1555
La_Liga,2020-10-25,1700,Cadiz CF,Villarreal,4.05,3.05,2.0,2.3,1.44,2.02,1.57,1.72,None,1.2,None,2020-10-09,1555
La_Liga,2020-10-25,1700,Levante,Celta de Vigo,2.25,3.2,3.1,2.05,1.55,1.8,1.75,1.32,None,1.57,None,2020-10-09,1555
Bundesliga,2020-10-26,1930,Bayer Leverkusen,Augsburgo,1.53,4.95,4.4,None,None,None,None,None,None,None,None,2020-10-09,1534
