web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1603835536-202,https://understat.com/league/La_liga,201.241.02,https://understat.com/match/14835,Atletico Madrid,Real Betis,La liga,Oct 24 2020,2,0,1.24,1.02,13,12,6,3,8,5,10.97,7.0,1.51,1.18
1603835603-210,https://understat.com/league/Ligue_1,030.731.29,https://understat.com/match/15833,Brest,Strasbourg,Ligue 1,Oct 25 2020,0,3,0.73,1.29,14,7,4,5,10,3,10.61,25.93,0.78,1.93
1603835373-182,https://understat.com/league/Bundesliga,231.903.08,https://understat.com/match/15178,Mainz 05,Borussia M.Gladbach,Bundesliga,Oct 24 2020,2,3,1.9,3.08,15,22,7,11,13,7,13.9,6.06,0.69,2.13
1603835418-187,https://understat.com/league/EPL,110.760.25,https://understat.com/match/14494,Wolverhampton Wanderers,Newcastle United,EPL,Oct 25 2020,1,1,0.76,0.25,16,5,3,2,5,4,10.19,31.31,1.79,0.78
1603835344-178,https://understat.com/league/Bundesliga,212.780.66,https://understat.com/match/15182,Wolfsburg,Arminia Bielefeld,Bundesliga,Oct 25 2020,2,1,2.78,0.66,14,9,4,1,12,3,13.35,10.71,2.68,0.22
1603835617-212,https://understat.com/league/Ligue_1,200.330.63,https://understat.com/match/15828,Metz,Saint-Etienne,Ligue 1,Oct 25 2020,2,0,0.33,0.63,6,10,3,0,1,4,7.18,4.94,0.91,1.64
1603835210-162,https://understat.com/league/RFPL,121.951.00,https://understat.com/match/14314,Lokomotiv Moscow,FC Rotor Volgograd,RFPL,Oct 24 2020,1,2,1.95,1.0,20,5,3,3,18,1,3.2,22.54,2.2,0.53
1603835462-193,https://understat.com/league/EPL,031.502.38,https://understat.com/match/14486,Aston Villa,Leeds,EPL,Oct 23 2020,0,3,1.5,2.38,12,27,4,9,7,20,13.24,3.65,0.82,1.97
1603835639-215,https://understat.com/league/Ligue_1,010.850.88,https://understat.com/match/15835,Lorient,Marseille,Ligue 1,Oct 24 2020,0,1,0.85,0.88,12,15,3,3,2,4,9.78,4.82,1.31,1.35
1603835218-163,https://understat.com/league/RFPL,121.050.97,https://understat.com/match/14320,Zenit St. Petersburg,Rubin Kazan,RFPL,Oct 24 2020,1,2,1.05,0.97,8,9,2,2,8,2,5.1,20.93,1.41,1.26
1603835337-177,https://understat.com/league/Bundesliga,110.230.87,https://understat.com/match/15183,Werder Bremen,Hoffenheim,Bundesliga,Oct 25 2020,1,1,0.23,0.87,5,14,2,4,1,5,16.06,12.91,0.65,1.95
