League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Championship,2020-10-21,1945,Watford,Blackburn Rovers,1.95,3.35,3.7,None,None,None,None,None,None,None,None,2020-10-06,1242
Champions,2020-10-21,2000,Olympiacos,Marselha,2.3,3.15,3.05,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-21,2000,FC Midtjylland,Atalanta,5.35,4.3,1.5,None,None,None,None,None,None,None,None,2020-10-06,1251
Championship,2020-10-21,2000,Stoke City,Barnsley FC,2.0,3.35,3.55,None,None,None,None,None,None,None,None,2020-10-06,1242
Champions,2020-10-21,2000,Manchester City,FC Porto,1.32,5.25,7.5,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-21,2000,Bayern Munique,Atletico de Madrid,1.53,4.1,5.4,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-21,2000,Inter de Milao,Borussia Monchengladbach,1.67,3.8,4.6,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-21,2000,Ajax,Liverpool,4.95,3.95,1.6,None,None,None,None,None,None,None,None,2020-10-06,1251
Liga_Europa,2020-10-22,1755,Young Boys,AS Roma,3.85,3.7,1.83,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,CSKA Sofia,Cluj,2.45,3.3,2.72,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,FC Dundalk,Molde FK,4.0,3.75,1.78,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,Hapoel Beer Sheva,Slavia Praga,4.1,3.55,1.8,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,Lech Poznan,SL Benfica,4.9,3.5,1.7,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,PAOK Salonica,AC Omonia Nicosia,1.55,3.85,5.7,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,HNK Rijeka,Real Sociedad,4.2,3.8,1.72,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,Standard Liege,Rangers,2.3,3.3,2.9,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,PSV Eindhoven,Granada CF,2.25,3.25,3.05,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,Rapid Viena,Arsenal,4.7,3.8,1.65,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,Bayer Leverkusen,Nice,1.67,3.9,4.5,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,1755,Napoles,AZ Alkmaar,1.44,4.55,6.05,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,Maccabi Tel Aviv,Qarabag FK,1.9,3.35,3.9,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,Celtic,AC Milao,3.25,3.5,2.05,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,Dinamo Zagreb,Feyenoord,2.3,3.3,2.92,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,Wolfsberger AC,CSKA Moscovo,3.35,3.4,2.05,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,Villarreal,Sivasspor,1.32,4.8,9.0,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,SC Braga,AEK Atenas,1.91,3.4,3.8,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,Sparta Praga,Lille,2.45,3.3,2.7,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,Hoffenheim,Estrela Vermelha,1.42,4.45,6.6,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,FC Slovan Liberec,Gent,2.92,3.3,2.3,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,Ludogorets,Antuerpia,2.2,3.5,2.92,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,Leicester,FC Zorya Luhansk,1.27,5.15,10.0,None,None,None,None,None,None,None,None,2020-10-06,1247
Liga_Europa,2020-10-22,2000,Tottenham,Linz,1.4,4.45,7.05,None,None,None,None,None,None,None,None,2020-10-06,1247
Bundesliga,2020-10-23,1930,Estugarda,Colonia,1.78,3.6,4.15,None,None,None,None,None,None,None,None,2020-10-06,1237
Bundesliga,2020-10-24,1430,Mainz 05,Borussia Monchengladbach,3.7,3.6,1.88,None,None,None,None,None,None,None,None,2020-10-06,1237
Bundesliga,2020-10-24,1430,1. FC Union Berlin,Friburgo,2.37,3.55,2.67,None,None,None,None,None,None,None,None,2020-10-06,1237
Bundesliga,2020-10-24,1430,Bayern Munique,Eintracht Frankfurt,1.17,6.75,13.0,None,None,None,None,None,None,None,None,2020-10-06,1237
Bundesliga,2020-10-24,1430,RB Leipzig,Hertha Berlin,1.28,5.2,9.0,None,None,None,None,None,None,None,None,2020-10-06,1237
Eredivisie,2020-10-24,1530,VVV Venlo,Ajax,11.0,5.7,1.23,None,None,None,None,None,None,None,None,2020-10-06,1235
