web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1601206671-28,https://www.oddsportal.com/soccer/russia/premier-league/,CSKA Moscow - Lokomotiv Moscow,https://www.oddsportal.com/soccer/russia/premier-league/cska-moscow-lokomotiv-moscow-K2zAWzcU/,Premier League,"Today, 27 Sep  2020, 16:00",CSKA Moscow - Lokomotiv Moscow,,Russia
1601206953-68,https://www.oddsportal.com/soccer/germany/bundesliga/,Werder Bremen - Arminia Bielefeld,https://www.oddsportal.com/soccer/germany/bundesliga/werder-bremen-arminia-bielefeld-GCOtYASH/,Bundesliga,"Saturday, 03 Oct  2020, 13:30",Werder Bremen - Arminia Bielefeld,,Germany
1601206781-43,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Willem II - Feyenoord,https://www.oddsportal.com/soccer/netherlands/eredivisie/willem-ii-feyenoord-tjzJV6Xe/,Eredivisie,"Sunday, 04 Oct  2020, 12:30",Willem II - Feyenoord,,Netherlands
1601206618-20,https://www.oddsportal.com/soccer/russia/premier-league/,Sochi - FK Rostov,https://www.oddsportal.com/soccer/russia/premier-league/pfc-sochi-fk-rostov-fcAnpfRT/,Premier League,"Sunday, 04 Oct  2020, 13:30",Sochi - FK Rostov,,Russia
1601207218-107,https://www.oddsportal.com/soccer/france/ligue-1/,Lorient - Lyon,https://www.oddsportal.com/soccer/france/ligue-1/lorient-lyon-0GQDF29G/,Ligue 1,"Today, 27 Sep  2020, 15:00",Lorient - Lyon,,France
1601206685-30,https://www.oddsportal.com/soccer/russia/premier-league/,Arsenal Tula - FK Rostov,https://www.oddsportal.com/soccer/russia/premier-league/arsenal-tula-fk-rostov-ARFJjvrn/,Premier League,"Today, 27 Sep  2020, 11:00",Arsenal Tula - FK Rostov,The match has already started.,Russia
1601207018-77,https://www.oddsportal.com/soccer/italy/serie-a/,AC Milan - Spezia,https://www.oddsportal.com/soccer/italy/serie-a/ac-milan-spezia-fBwDvXW1/,Serie A,"Sunday, 04 Oct  2020, 16:00",AC Milan - Spezia,,Italy
1601207418-137,https://www.oddsportal.com/soccer/england/championship/,Coventry - Bournemouth,https://www.oddsportal.com/soccer/england/championship/coventry-bournemouth-jqfsrEYO/,Championship,"Friday, 02 Oct  2020, 18:45",Coventry - Bournemouth,,England
1601207522-152,https://www.oddsportal.com/soccer/england/premier-league/,Arsenal - Sheffield Utd,https://www.oddsportal.com/soccer/england/premier-league/arsenal-sheffield-utd-0xOh7QiR/,Premier League,"Sunday, 04 Oct  2020, 13:00",Arsenal - Sheffield Utd,,England
1601206523-6,https://www.oddsportal.com/soccer/spain/laliga/,Eibar - Elche,https://www.oddsportal.com/soccer/spain/laliga/eibar-elche-QNcVTA3N/,LaLiga,"Wednesday, 30 Sep  2020, 19:30",Eibar - Elche,,Spain
1601207224-108,https://www.oddsportal.com/soccer/france/ligue-1/,Nimes - Lens,https://www.oddsportal.com/soccer/france/ligue-1/nimes-lens-Y7sjdE8e/,Ligue 1,"Today, 27 Sep  2020, 13:00",Nimes - Lens,,France
1601207298-118,https://www.oddsportal.com/soccer/england/championship/,Middlesbrough - Reading,https://www.oddsportal.com/soccer/england/championship/middlesbrough-reading-MPFfAiZE/,Championship,"Saturday, 17 Oct  2020, 14:00",Middlesbrough - Reading,,England
1601206529-7,https://www.oddsportal.com/soccer/spain/laliga/,Villarreal - Alaves,https://www.oddsportal.com/soccer/spain/laliga/villarreal-alaves-d6l1OlRp/,LaLiga,"Wednesday, 30 Sep  2020, 17:00",Villarreal - Alaves,,Spain
1601207529-153,https://www.oddsportal.com/soccer/england/premier-league/,Southampton - West Brom,https://www.oddsportal.com/soccer/england/premier-league/southampton-west-brom-0j3RLP6K/,Premier League,"Sunday, 04 Oct  2020, 11:00",Southampton - West Brom,,England
1601207317-121,https://www.oddsportal.com/soccer/england/championship/,Bournemouth - QPR,https://www.oddsportal.com/soccer/england/championship/bournemouth-qpr-jsPE9Kr4/,Championship,"Saturday, 17 Oct  2020, 14:00",Bournemouth - QPR,,England
1601207093-89,https://www.oddsportal.com/soccer/italy/serie-a/,Bologna - Parma,https://www.oddsportal.com/soccer/italy/serie-a/bologna-parma-zTTllp4b/,Serie A,"Tomorrow, 28 Sep  2020, 18:45",Bologna - Parma,,Italy
1601206730-36,https://www.oddsportal.com/soccer/scotland/premiership/,Dundee Utd - Livingston,https://www.oddsportal.com/soccer/scotland/premiership/dundee-utd-livingston-rFOk5yVg/,Premiership,"Friday, 02 Oct  2020, 18:45",Dundee Utd - Livingston,,Scotland
1601207068-85,https://www.oddsportal.com/soccer/italy/serie-a/,Fiorentina - Sampdoria,https://www.oddsportal.com/soccer/italy/serie-a/fiorentina-sampdoria-vwxtnFvS/,Serie A,"Friday, 02 Oct  2020, 18:45",Fiorentina - Sampdoria,,Italy
1601207560-158,https://www.oddsportal.com/soccer/england/premier-league/,Chelsea - Crystal Palace,https://www.oddsportal.com/soccer/england/premier-league/chelsea-crystal-palace-KM4P14Fl/,Premier League,"Saturday, 03 Oct  2020, 11:30",Chelsea - Crystal Palace,,England
1601206876-56,https://www.oddsportal.com/soccer/germany/bundesliga/,Schalke - Union Berlin,https://www.oddsportal.com/soccer/germany/bundesliga/schalke-union-berlin-Y3NalWCb/,Bundesliga,"Sunday, 18 Oct  2020, 16:00",Schalke - Union Berlin,,Germany
